Episode,Score,Steps,Success,Collision,Timeout,Exploration_Coverage,Avg_Reward,Learning_Rate
0,-95.19168864740143,185,0,1,0,0,-95.19168864740143,0.0003
1,-21.685635355860324,7,0,1,0,0,-58.43866200163088,0.0003
2,-95.10075225246996,180,0,1,0,0,-70.65935875191057,0.0003
3,-19.61103061280516,6,0,1,0,0,-57.89727671713422,0.0003
4,-13.774073237747665,6,0,1,0,0,-49.07263602125691,0.0003
5,-51.60386161566464,164,0,1,0,0,-49.494506953658195,0.0003
6,-94.41617730851392,272,0,1,0,0,-55.9118884329233,0.0003
