Episode,Score,Steps,Success,Collision,Timeout,Exploration_Coverage,Avg_Reward,Learning_Rate
0,-23.180674468854498,5,0,1,0,0,-23.180674468854498,0.0003
1,-131.0935014862228,296,0,1,0,0,-77.13708797753866,0.0003
2,-16.717652051024952,7,0,1,0,0,-56.997276002034084,0.0003
3,-14.415483321019124,7,0,1,0,0,-46.35182783178034,0.0003
4,-14.45332702888466,7,0,1,0,0,-39.97212767120121,0.0003
5,-10.633072752099697,7,0,1,0,0,-35.08228518468429,0.0003
6,-14.389626789764437,7,0,1,0,0,-32.126191128267166,0.0003
7,-14.448662488916046,7,0,1,0,0,-29.91650004834828,0.0003
8,-13.794442875778891,6,0,1,0,0,-28.125160362507234,0.0003
9,-14.386578238880482,7,0,1,0,0,-26.75130215014456,0.0003
10,-17.599085694288313,7,0,1,0,0,-25.919282472339447,0.0003
11,-14.424302683298027,7,0,1,0,0,-24.96136748991933,0.0003
12,-14.446790420061106,7,0,1,0,0,-24.152553869161007,0.0003
13,-14.404745874349176,7,0,1,0,0,-23.45628186953159,0.0003
14,-62.63678735807801,151,0,1,0,0,-26.068315568768018,0.0003
15,-63.529237951549,127,0,1,0,0,-28.409623217691824,0.0003
16,-15.668102914770254,6,0,1,0,0,-27.66012202340232,0.0003
17,-13.740060472215518,6,0,1,0,0,-26.886785270558608,0.0003
18,-13.779750622430672,6,0,1,0,0,-26.19694134170977,0.0003
19,-13.82412295340274,6,0,1,0,0,-25.578300422294422,0.0003
20,-72.38367791603478,170,0,1,0,0,-27.807127921996344,0.0003
21,-21.26438661757564,7,0,1,0,0,-27.50973058997722,0.0003
22,-14.352904550762876,7,0,1,0,0,-26.937694675228773,0.0003
23,-94.73227129606599,193,0,1,0,0,-29.76246870109699,0.0003
24,-85.30389637725882,182,0,1,0,0,-31.984125808143464,0.0003
25,-204.1645596071177,386,0,1,0,0,-38.606450185027086,0.0003
26,-90.86583165663288,214,0,1,0,0,-40.541982832123594,0.0003
27,-74.74239413986915,146,0,1,0,0,-41.76342609311451,0.0003
28,-43.921407062023185,99,0,1,0,0,-41.83783922997343,0.0003
29,-82.48047621742573,143,0,1,0,0,-43.19259379622185,0.0003
30,-88.40604250128436,200,0,1,0,0,-44.65109214154645,0.0003
31,-82.7788372349663,144,0,1,0,0,-45.842584175715814,0.0003
32,-122.03787587884307,260,0,1,0,0,-48.15153240914391,0.0003
33,-17.521721294736352,6,0,1,0,0,-47.25065561166134,0.0003
34,-47.43996211622939,118,1,0,0,0,-47.256064368934716,0.0003
35,-51.07599745195966,96,1,0,0,0,-47.36217362124096,0.0003
36,-111.72752918497602,206,0,1,0,0,-49.10177782566623,0.0003
37,-18.857012714750233,6,0,1,0,0,-48.30586295432634,0.0003
38,-46.069187914579004,148,0,1,0,0,-48.24851231228154,0.0003
39,-94.5340777295847,159,0,1,0,0,-49.405651447714106,0.0003
40,-17.737118667210776,6,0,1,0,0,-48.633248209165245,0.0003
41,-14.017808967657173,6,0,1,0,0,-47.80907108436744,0.0003
42,-14.205051919706078,7,0,1,0,0,-47.02758226658461,0.0003
43,-14.686506252743015,7,0,1,0,0,-46.29255781172458,0.0003
44,-100.6346352861599,249,0,1,0,0,-47.5001595333787,0.0003
45,-66.6355852657162,189,0,1,0,0,-47.91614704929908,0.0003
46,-116.1444175079647,194,0,1,0,0,-49.36781237820686,0.0003
47,-16.303102397305654,6,0,1,0,0,-48.67896425360474,0.0003
48,-13.903607555211758,6,0,1,0,0,-47.96926309649468,0.0003
49,-14.366967088805549,7,0,1,0,0,-47.2972171763409,0.0003
50,-38.49401720492621,161,0,1,0,0,-47.12460541219552,0.0003
51,-28.8588404405598,7,0,1,0,0,-46.77334070120253,0.0003
52,-14.437061422643426,7,0,1,0,0,-46.163222224248585,0.0003
