Episode,Score,Steps,Success,Collision,Timeout,Exploration_Coverage,Avg_Reward,Learning_Rate
0,-54.952400198161385,88,0,1,0,0,-54.952400198161385,0.0003
1,-165.51993819818983,300,0,1,0,0,-110.23616919817562,0.0003
2,-120.81362008145422,208,0,1,0,0,-113.76198615926849,0.0003
3,-178.67872839991287,333,1,0,0,0,-129.9911717194296,0.0003
4,-130.31123969885687,228,1,0,0,0,-130.05518531531504,0.0003
5,-76.89092382964837,110,0,1,0,0,-121.19447506770393,0.0003
6,-16.84191873859945,6,0,1,0,0,-106.286967020689,0.0003
7,-103.82041904555292,153,0,1,0,0,-105.978648523797,0.0003
8,-75.63141712162994,109,0,1,0,0,-102.60673392355622,0.0003
